structure_inchikey	structure_smiles	structure_molecular_formula	structure_exact_mass	structure_xlogp
AGPKZVBTJJNPAG-WHFBIAKZSA-N	CC[C@H](C)[C@H](N)C(O)=O	C6H13NO2	131.09463	-1.50841
SHZGCJCMOBCMKK-DHVFOXMCSA-N	C[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O	C6H12O5	164.06847	-1.88563
VZCYOOQTPOCHFL-OWOJBTEDSA-N	OC(=O)\C=C\C(O)=O	C4H4O4	116.01096	-0.04091
HNDVDQJCIGZPNO-YFKPBYRVSA-N	N[C@@H](CC1=CN=CN1)C(O)=O	C6H9N3O2	155.06948	-3.61602
KDXKERNSBIXSRK-YFKPBYRVSA-N	NCCCC[C@H](N)C(O)=O	C6H14N2O2	146.10553	-3.21453
GUBGYTABKSRVRQ-XLOQQCSPSA-N	OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O	C12H22O11	342.11621	-4.70337
MTCFGRXMJLQNBG-REOHCLBHSA-N	N[C@@H](CO)C(O)=O	C3H7NO3	105.04259	-3.88774
HAEJPQIATWHALX-KQYNXXCUSA-N	O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2O	C10H15N4O14P3	507.97976	-4.42622
JVTAAEKCZFNVCJ-REOHCLBHSA-N	C[C@H](O)C(O)=O	C3H6O3	90.03169	-0.47183
CKLJMWTZIZZHCS-REOHCLBHSA-N	N[C@@H](CC(O)=O)C(O)=O	C4H7NO4	133.03751	-3.50375
LEVWYRKDKASIDU-IMJSIDKUSA-N	N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O	C6H12N2O4S2	240.02385	-5.89769
UGQMRVRMYYASKQ-KQYNXXCUSA-N	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1NC=NC2=O	C10H12N4O5	268.08077	-1.96093
BTNMPGBKDVTSJY-UHFFFAOYSA-N	OC(=O)C(=O)CC1=CC=CC=C1	C9H8O3	164.04734	1.90021
GHOKWGTUZJEAQD-UHFFFAOYSA-N	CC(C)(CO)C(O)C(=O)NCCC(O)=O	C9H17NO5	219.11067	-1.35538
INAPMGSXUVUWAF-PTQMNWPWSA-N	O[C@H]1[C@H](O)[C@H](O)[C@H](OP(O)(O)=O)[C@@H](O)[C@@H]1O	C6H13O9P	260.02972	-3.90558
AHLPHDHHMVZTML-BYPYZUCNSA-N	NCCC[C@H](N)C(O)=O	C5H12N2O2	132.08988	-3.65829
OVRNDRQMDRJTHS-DMHSOCPYSA-N	[H]OC([H])([H])[C@]1([H])O[C@@]([H])(O[H])[C@@]([H])(N([H])C(=O)C([H])([H])[H])[C@]([H])(O[H])[C@@]1([H])O[H]	C8H15NO6	221.08994	-3.22057
