structure_name	structure_inchikey	structure_smiles	structure_inchikey_2D	structure_smiles_2D	structure_molecular_formula	structure_exact_mass	structure_xlogp	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	structure_taxonomy_classyfire_chemontid	structure_taxonomy_classyfire_01kingdom	structure_taxonomy_classyfire_02superclass	structure_taxonomy_classyfire_03class	structure_taxonomy_classyfire_04directparent	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	reference_doi
Iodotyrosine	UQTZMGFTRHFAAM-ZETCQYMHSA-N	N[C@@H](CC1=CC=C(O)C(I)=C1)C(O)=O	UQTZMGFTRHFAAM		C9H10INO3											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
3-Methoxytyramine	DIVQKHQLANKJQO-UHFFFAOYSA-N	COC1=C(O)C=CC(CCN)=C1	DIVQKHQLANKJQO		C9H13NO2											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
(S)-3-Hydroxyisobutyric acid	DBXBTMSZEOQQDU-VKHMYHEASA-N	C[C@@H](CO)C(O)=O	DBXBTMSZEOQQDU		C4H8O3											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
3-O-Sulfogalactosylceramide (d18:1/24:0)	MEAZTWJVOWHKJM-YQTIZROBSA-N	[H][C@@](CO[C@@H]1O[C@H](CO)[C@H](O)C(OS(O)(=O)=O)C1O)(NC(=O)CCCCCCCCCCCCCCCCCCCCCCC)[C@]([H])(O)\C=C\CCCCCCCCCCCCC	MEAZTWJVOWHKJM		C48H93NO11S											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Ureidopropionic acid	JSJWCHRYRHKBBW-UHFFFAOYSA-N	NC(=O)NCCC(O)=O	JSJWCHRYRHKBBW		C4H8N2O3											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Tetrahydrobiopterin	FNKQXYHWGSIFBK-RPDRRWSUSA-N	[H][C@@]1(CNC2=C(N1)C(=O)N=C(N)N2)[C@@H](O)[C@H](C)O	FNKQXYHWGSIFBK		C9H15N5O3											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Biotin	YBJHBAHKTGYVGT-ZKWXMUAHSA-N	[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2	YBJHBAHKTGYVGT		C10H16N2O3S											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Androsterone	QGXBDMJGAMFCBF-HLUDHZFRSA-N	[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](O)CC[C@]12C	QGXBDMJGAMFCBF		C19H30O2											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
7-Dehydrocholesterol	UCTLRSWJYQTBFZ-DDPQNLDTSA-N	[H][C@@]1(CC[C@@]2([H])C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C	UCTLRSWJYQTBFZ		C27H44O											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Carnosine	CQOVPNPJLQNMDC-ZETCQYMHSA-N	NCCC(=O)N[C@@H](CC1=CN=CN1)C(O)=O	CQOVPNPJLQNMDC		C9H14N4O3											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
