organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas
Barbula unguiculata	1027526	Eukaryota	Archaeplastida	Streptophyta	Bryopsida	Pottiales	Pottiaceae	notClassified	Barbula	Barbula unguiculata	notClassified
Polytrichum formosum	199296	Eukaryota	Archaeplastida	Streptophyta	Polytrichopsida	Polytrichales	Polytrichaceae	notClassified	Polytrichum	Polytrichum formosum	notClassified
Brachythecium buchananii	568836	Eukaryota	Archaeplastida	Streptophyta	Bryopsida	Hypnales	Brachytheciaceae	notClassified	Brachythecium	Brachythecium buchananii	notClassified
Leucobryum scabrum	1045493	Eukaryota	Archaeplastida	Streptophyta	Bryopsida	Dicranales	Leucobryaceae	notClassified	Leucobryum	Leucobryum scabrum	notClassified
Dicranum japonicum	3862370	Eukaryota	Archaeplastida	Streptophyta	Bryopsida	Dicranales	Dicranaceae	notClassified	Dicranum	Dicranum japonicum	notClassified
Dicranum majus	227425	Eukaryota	Archaeplastida	Streptophyta	Bryopsida	Dicranales	Dicranaceae	notClassified	Dicranum	Dicranum majus	notClassified
Pogonatum otaruense	3856148	Eukaryota	Archaeplastida	Streptophyta	Polytrichopsida	Polytrichales	Polytrichaceae	notClassified	Pogonatum	Pogonatum otaruense	notClassified
Campylopus japonicus	3861441	Eukaryota	Archaeplastida	Streptophyta	Bryopsida	Dicranales	Leucobryaceae	notClassified	Campylopus	Campylopus japonicus	notClassified
Euphorbia lathyris	907417	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbieae	Euphorbia	Euphorbia lathyris	notClassified
Amphilectus fucorum	303935	Eukaryota	Metazoa	Porifera	Demospongiae	Poecilosclerida	Esperiopsidae	notClassified	Amphilectus	Amphilectus fucorum	notClassified
Stelletta clarella	929112	Eukaryota	Metazoa	Porifera	Demospongiae	Tetractinellida	Ancorinidae	notClassified	Stelletta	Stelletta clarella	notClassified
