row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,191105_AR_Panax_Pos.mzML Peak area,191105_AR_Ginkgo_Pos.mzML Peak area,191105_AR_Arnica_Pos.mzML Peak area,191105_AR_Cinchona_Pos.mzML Peak area,191105_AR_Salvia_Pos.mzML Peak area,
9439,349.05267171324266,3.8077266,,,,836,,,,,,,9388.867,0,5108.388,0,5806.4175,
1293,349.06253897263184,0.5818794,,,,695,37,[M+Na]+,,2,1293;1295,326.07266,0,27291.328,0,500.42255,0,
8686,349.0697932087302,3.4992487,,,,836,,,,,,,0,270506.75,0,0,195.92308,
5004,349.07008978060384,2.1833336,,,,543,,,,,,,0,140777.9,0,0,0,
2232,349.0897687009913,1.0543112,,,,527,91,[M+Na]+,,2,2226;2232,326.10017,0,91506.03,1957.5244,0,34381.23,
7595,349.0968076705259,2.9710631,,,,372,,,,,,,1254.7512,20823.457,568.54126,1225.3203,803.2666,
8291,349.0978911406393,3.2172215,,,,836,,,,,,,0,314.15964,20875.719,0,273.7478,
3725,349.10540519296103,1.6928463,,,,486,180,[M-H+2Na]+,,2,3725;3757,304.13427,0,0,278.54718,0,19257.818,
11988,349.10796445363485,4.5832334,,,,,,,,,,,0,5255.502,0,0,0,
4088,349.12463187725706,1.9931383,,,,736,,,,,,,0,14481.542,2212.0242,0,288.88907,
8071,349.12527594326355,3.3295903,,,,836,441,[M+Na]+,,4,8099;8106;8086;8071,326.13666,284.34207,292.643,407295.06,0,112290.01,
2849,349.1253167395532,1.3634163,,,,208,123,[M+Na]+,,2,2784;2849,326.13633,0,8208.247,5623.302,0,12511.457,
1229,349.13881515043397,0.6449734,,,,91,,,,,,,2275.3335,0,18483.734,0,0,
10117,349.1542896655999,3.9426339,,,,624,,,,,,,0,0,0,19052.031,0,
8400,349.16249116880044,3.34562,,,,836,440,[M+Na]+,,2,8400;8002,326.17316,0,0,0,0,7320.461,
10244,349.1638261361135,3.9904926,,,,868,549,[M+H-H2O]+,,2,10244;10226,366.16737,0,0,0,0,5450.62,
12575,349.16424635125406,4.864405,,,,601,690,[M+H]+,,1,12884,348.15719,0,0,13891.089,0,184388.12,
17973,349.1643908256325,6.879495,,,,609,,,,,,,0,149.3711,1357.1885,299.7926,65365.934,
12167,349.1645764793974,4.7828174,,,,96,,,,,,,0,0,13891.089,0,33297.137,
15090,349.1649225844439,5.884858,,,,864,829,[M+H-H2O]+,,6,15090;15007;15092;15113;15152;15112,366.16827,0,0,0,0,3719265.2,
14271,349.19999319766595,5.549398,,,,15,,,,,,,0,205.75247,38652.58,0,3486.7998,
16436,349.2002028571278,6.3336377,,,,641,903,[M+H-H2O]+,,2,16331;16436,366.2041,0,555.63,17723.572,0,10097.911,
10776,349.2580686137119,4.1928196,,,,,,,,,,,0,0,10066.503,0,3584.8352,
12041,349.25818292973497,4.464131,,,,,,,,,,,0,0,18471.805,0,219.2055,
2085,350.06717794878904,0.8277613,,,,387,,,,,,,0,2669.008,0,0,48296.582,
4983,350.095530630028,2.1811848,,,,203,,,,,,,0,0,457310.22,0,0,
5987,350.09592235853563,2.5091574,,,,704,,,,,,,0,0,48913.59,0,0,
6558,350.09654409362986,2.6984375,,,,836,,,,,,,0,0,74249.87,0,0,
7858,350.1033367214523,3.0170598,,,,37,,,,,,,0,0,28969.145,0,287.719,
836,350.1205334727407,0.42688632,,,,114,27,[M+Na]+,,3,836;823;879,327.13144,1439.7,0,42389.812,0,0,
15956,350.13636344915875,6.245708,,,,641,884,[M+Na]+,,2,16012;15956,327.14724,0,0,0,0,7805.2925,
15589,350.19515364044247,6.055542,,,,422,866,[M+NH4]+,,4,15589;15590;15502;15595,332.1618,0,0,161837.67,0,6398.79,
17022,350.19582111632917,6.627222,,,,576,953,[M+NH4]+,,4,17240;17024;17022;17239,332.16237,0,0,78244.25,0,14891.75,
18947,350.1965134569385,7.153622,,,,576,1037,[M+NH4]+,,2,18948;18947,332.16293,0,0,0,0,16271.135,
5021,350.21688822708455,2.131,,,,203,252,[M+NH4]+,,6,5017;5144;5130;5021;4944;5142,332.18322,0,9707.719,41352.91,3077.0464,612524.6,
6970,350.21693697044583,2.8847134,,,,836,382,[M+NH4]+,,2,6970;7397,332.18331,0,1897.9907,10098.807,0,14432.567,
3773,350.217059912746,1.69518,,,,709,187,[M+NH4]+,,2,3786;3773,332.18324,0,20831.584,2064.8833,0,36631.277,
14753,350.2905454855627,5.6767554,,,,846,809,[M+NH4]+,,4,14748;14733;14753;14734,332.25664,471.67133,0,4809.7324,0,16734.225,
12764,350.62120483704166,4.8992615,,,,601,,,,,,,0,0,79533.87,0,0,
17065,351.0993354939629,6.554241,,,,833,944,[M+K]+,,5,17082;17083;17091;17065;17079,312.13615,0,0,0,0,11460.88,
8185,351.1028151517,3.2427008,,,,793,,,,,,,0,82751.11,2600.4849,43160.97,0,
7583,351.1039124855518,3.159075,,,,,,,,,,,0,11854.615,3250.155,41427.56,0,
17066,351.1205090037628,6.554241,,,,833,943,[M+Na]+,,2,17081;17066,328.13133,0,0,0,0,5032.44,
1388,351.1409390162278,0.7092368,,,,696,,,,,,,0,0,39687.52,0,0,
1795,351.1411963071371,1.073558,,,,,,,,,,,0,0,34588.562,0,3825.0532,
3958,351.14164093281227,1.8151119,,,,697,199,[M+Na]+,,2,3958;3957,328.15168,573.10815,0,0,0,41494.227,
18980,351.1569730308521,7.16806,,,,576,1035,[M+Na]+,,2,18978;18980,328.16666,0,0,0,0,18554.086,
1076,351.17548602676914,0.54496676,,,,636,,,,,,,2846.1045,0,44930.91,0,0,
2303,351.1764489020853,1.1013207,,,,395,,,,,,,21137.193,0,0,0,0,
4938,351.1771641631077,2.1607468,,,,,,,,,,,21998.535,0,0,0,0,
18097,351.1789438613791,6.9451714,,,,576,,,,,,,0,0,566.7088,14738.505,5943.318,
2901,351.20112527560747,1.3026394,,,,746,115,[M+H]+,,1,2719,350.19395,0,464.8525,3852.4082,0,0,
12959,351.2140698888672,5.210602,,,,601,741,[M+Na]+,,3,12951;12959;12958,328.22481,1325.3337,9379.164,23834.756,2025.51,16564.914,
13875,351.21412709003357,5.391955,,,,601,768,[M+Na]+,,3,14008;13875;14672,328.22499,1325.3337,50593.535,122052.88,2393.0095,174141.2,
14801,351.2144328378213,5.5913444,,,,870,,,,,,,1004.1662,7821.24,23224.945,2144.4202,16373.992,
10008,351.2368440094167,3.9013371,,,,804,532,[M+H]+,,3,10010;10009;10008,350.23013,0,0,21223.22,0,0,
10494,351.2368831955758,4.0695944,,,,836,556,[M+H]+,,1,10473,350.22999,0,0,7934.084,0,0,
18952,351.2529510783832,7.058616,,,,467,,,,,,,0,101445.45,486.11267,0,6538.7354,
7494,352.0553745524717,3.0638926,,,,836,,,,,,,0,7498.1562,11252.578,0,0,
4252,352.09206278625334,1.8782327,,,,486,,,,,,,1382.0902,31031.035,13307.408,0,3165.037,
5127,352.16468690190635,2.3815277,,,,203,,,,,,,1360.7686,0,0,0,48493.22,
2353,352.18497894003235,1.1301539,,,,626,,,,,,,16497.74,0,0,0,0,
2690,352.1855106339687,1.2793674,,,,290,,,,,,,35193.77,0,0,0,0,
18220,352.18585225421134,6.812171,,,,576,,,,,,,0,0,0,21524.066,742.4903,
18942,352.18626816649214,7.0347166,,,,478,,,,,,,0,0,0,69586.32,222.38452,
11185,352.21159065749885,4.284393,,,,475,,,,,,,0,0,115441.56,0,0,
16228,352.2125943094371,6.3410635,,,,576,900,[M+NH4]+,,3,16230;16228;16123,334.17777,0,0,587523.75,0,1400.9675,
14724,352.2141204708653,5.5693893,,,,846,789,[M+NH4]+,,2,14721;14724,334.17956,0,196.24191,0,0,14194.0205,
18642,352.68851173195605,7.08292,,,,478,,,,,,,0,0,0,28950.168,0,
2550,353.04006287547975,1.2071018,,,,470,,,,,,,0,0,1998.5096,0,121016.414,
