rt	smiles	inchikey
2.1173833166666665	CC(C)(CCC1)[C@@H](C[C@H]2O)[C@]1(C)[C@H](CC(C1(C(C=C3OC)=O)C(Oc4c5c(O)cc(O)c4)=CC5=O)C(C)=CCC1C3=O)C2=C	XRTOJGYRPZUDFW-FFROVVMCSA-N
2.2099166833333332	C[C@@H]([C@@H]([C@H]([C@H]1O)O[C@@H]([C@@H]([C@H]2O)O)OC[C@H]2O)O)O[C@H]1O[C@@H]([C@@H]1O)C(O[C@@H](CC2)[C@@](C)(CO)C(CC3)[C@@]2(C)C2[C@]3(C)[C@](C)(CC[C@@]3(C4CC(C)(C)CC3)C(O)=O)C4=CC2)OC[C@H]1OC([C@@H]([C@H]1O)O)O[C@H](CO)[C@H]1O	YEIXSARWQBTGKU-VECIUBBESA-N
2.2340499833333336	COc(c(C=O)c(cc1C(c2c3cccc2)=O)O)c1C3=O	IPDMWUNUULAXLU-UHFFFAOYSA-N
2.2574501	COc(c(C=O)c(cc1C(c2c3cccc2)=O)O)c1C3=O	IPDMWUNUULAXLU-UHFFFAOYSA-N
2.3032000166666666	CC(OCC(Cc(cc1)cc(OC)c1O)C(Cc(cc1)cc(OC)c1O)COC(/C=C/c(cc1)cc(OC)c1O)=O)=O	XMJRBIUHVKFCMR-XYOKQWHBSA-N
2.3942832999999997	COc1ccc([C@@H]([C@H]2C(c(ccc(O)c3)c3O)=O)Oc3c2c(O)c(C(C[C@@H](c(cc2)ccc2O)O2)=O)c2c3)cc1	YBNWSGJTIRDUAL-MWFUSFPTSA-N
2.4316500333333333	COc1ccc([C@@H]([C@H]2C(c(ccc(O)c3)c3O)=O)Oc3c2c(O)c(C(C[C@@H](c(cc2)ccc2O)O2)=O)c2c3)cc1	YBNWSGJTIRDUAL-MWFUSFPTSA-N
2.705116783333333	C[C@@H]([C@@H]([C@H]([C@H]1O)O[C@@H]([C@@H]([C@H]2O)O)OC[C@H]2O)O)O[C@H]1O[C@@H]([C@@H]1O)C(O[C@@H](CC2)C(C)(C)C(CC3)[C@@]2(C)C2[C@]3(C)[C@](C)(CC[C@@]3(C4CC(C)(C)CC3)C(O)=O)C4=CC2)OC[C@H]1OC([C@@H]([C@H]1O)O)O[C@H](CO)[C@H]1O	YMUVECXYJPPWBW-RHIWONNLSA-N
2.718666583333333	C=CCc(cc1)cc(-c(cc(CC=C)cc2)c2O)c1O	VVOAZFWZEDHOOU-UHFFFAOYSA-N
2.7300333666666665	C[C@@H]([C@@H]([C@H]([C@H]1O)O[C@@H]([C@H]([C@@H]2O)O)OC[C@H]2O)O)O[C@H]1O[C@@H]([C@@H]1O)C(O[C@@H](CC2)C(C)(C)C(CC3)[C@@]2(C)C2[C@]3(C)[C@](C)(CC[C@@]3(C4CC(C)(C)CC3)C(O)=O)C4=CC2)OC[C@H]1OC([C@@H]([C@H]1O)O)O[C@H](CO)[C@H]1O	YMUVECXYJPPWBW-UBTUDEFCSA-N
2.7714998833333335	CC(C)=CCc(c(O)c(c(OC(c(cc1)ccc1O)=C1O)c2)C1=O)c2O	TVMHBSODLWMMMV-UHFFFAOYSA-N
2.7792833999999997	C=CCc(cc1)cc(-c(cc(CC=C)cc2)c2O)c1O	VVOAZFWZEDHOOU-UHFFFAOYSA-N
2.7936500499999997	CC(C)=CCc(c(O)c(c(OC(c(cc1)ccc1O)=C1O)c2)C1=O)c2O	TVMHBSODLWMMMV-UHFFFAOYSA-N
3.1590667666666667	CC(C)(CCC1)C2[C@]1(COC(/C=C/c(cc1)cc(O)c1O)=O)C(CC[C@H](C1)[C@@](CO)(C3)O)[C@]13CC2	SCIXGQOSKNXPSL-SACMIHQYSA-N
3.17403335	CC(C)(CCC1)C2[C@]1(COC(/C=C/c(cc1)cc(O)c1O)=O)C(CC[C@H](C1)[C@@](CO)(C3)O)[C@]13CC2	SCIXGQOSKNXPSL-SACMIHQYSA-N
3.177966566666667	C=CCc(cc1)cc(-c(cc2)cc(CC=C)c2O)c1O	FVYXIJYOAGAUQK-UHFFFAOYSA-N
3.3874666833333333	CC(C)(CCC1)C2[C@]1(CO)C(CC[C@H](C1)[C@@](COC(/C=C/c(cc3)cc(O)c3O)=O)(C3)O)[C@]13CC2	NAPRTQGTRSLKIA-SACMIHQYSA-N
3.4024665833333336	CC(C)(CCC1)C2[C@]1(CO)C(CC[C@H](C1)[C@@](COC(/C=C/c(cc3)cc(O)c3O)=O)(C3)O)[C@]13CC2	NAPRTQGTRSLKIA-SACMIHQYSA-N
3.5060666333333335	CC(C)=CCc(c(O)c(CC=C(C)C)c(OC)c1C(c(cc2)ccc2O)=O)c1O	CSSYOJWEJPPTHG-UHFFFAOYSA-N
