feature_id	candidate_adduct	candidate_library	candidate_structure_error_mz	candidate_structure_name	candidate_structure_inchikey_no_stereo	candidate_structure_smiles_no_stereo	candidate_structure_molecular_formula	candidate_structure_exact_mass	candidate_structure_xlogp	candidate_spectrum_entropy	candidate_score_similarity	candidate_count_similarity_peaks_matched
2	[M+H]+	ISDB	0.000529895999989094		JVOJULURLCZUDE	N=c1nc2c(c[nH]1)ncn2C1OC(CO)C(O)C1O	C10H13N5O4	267.096753896		1.53925692629912	0.394813567399979	3
12	[M+H]+	ISDB	0.000137459999905332		RXUWDKBZZLIASQ	O=c1c(-c2ccc(O)cc2)coc2c(OC3OC(CO)C(O)C(O)C3O)c(O)cc(O)c12	C21H20O11	448.10056146		3.65935505179862	0.394740223884583	11
12	[M+H]+	ISDB	0.000137459999905332		KBGKQZVCLWKUDQ	O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(OC3OC(CO)C(O)C(O)C3O)c12	C21H20O11	448.10056146		3.62998275449791	0.393946617841721	10
9	[M+H]+	ISDB	0.000263392000022122		NXJAXUYOQLTISD	C[N+](C)(C)CC(CC(=O)[O-])OC(=O)CCCC(=O)O	C12H21NO6	275.136887392		3.34050949324698	0.389539420604706	13
12	[M+H]+	ISDB	0.000137459999905332		VNTMXJLNIJFLIF	O=c1cc(-c2ccc(O)c(OC3OC(CO)C(O)C(O)C3O)c2)oc2cc(O)cc(O)c12	C21H20O11	448.10056146		3.67138068632631	0.38807412981987	12
12	[M+H]+	ISDB	0.000137459999905332		KFCKXLBWYBDZCR	Cc1cc2c(c(OC3OC(CO)C(O)C(O)C3O)c1O)C(=O)c1c(O)cc(O)cc1C2=O	C21H20O11	448.10056146		3.45675299846488	0.387050479650497	10
12	[M+H]+	ISDB	0.000137459999905332		NHKCWTLRPTZPQY	Cc1cc2c(c(O)c1O)C(=O)c1c(OC3OC(CO)C(O)C(O)C3O)cc(O)cc1C2=O	C21H20O11	448.10056146		3.05543255061352	0.385003000497818	9
5	[M+H]+	ISDB	6.41039999322857e-05		ITGKGKVNRUDSLG	COc1c2c(c(OC)c3c(=O)c4ccccc4oc13)OCO2	C16H12O6	300.063388104		1.8746830755568	0.381512939929962	2
7	[M+H]+	ISDB	0.000378012000055605		SUMXZMNALTXVRH	NC(Cc1ccccc1)C(=O)OCC1(O)OC(CO)C(O)C1O	C15H21NO7	327.131802012		3.45944048546852	0.378822773694992	22
12	[M+H]+	ISDB	0.000137459999905332		LKPJBEBGOBIWTE	O=c1cc(-c2ccc(O)cc2)oc2c(O)c(OC3OC(CO)C(O)C(O)C3O)cc(O)c12	C21H20O11	448.10056146		3.26608943811138	0.376961439847946	12
12	[M+H]+	ISDB	0.000137459999905332		OTWLYTAYHGMNIL	O=c1c(-c2ccc(O)cc2)coc2cc(OC3OC(CO)C(O)C(O)C3O)c(O)c(O)c12	C21H20O11	448.10056146		3.20703225865913	0.369966149330139	10
12	[M+H]+	ISDB	0.000137459999905332		PKEINGJZDHOMRJ	O=c1cc(-c2ccc(O)cc2)oc2cc(O)c(O)c(OC3OC(CO)C(O)C(O)C3O)c12	C21H20O11	448.10056146		3.59322069610423	0.369841873645782	10
12	[M+H]+	ISDB	0.000137459999905332		GMRSKDNJSHIDNL	O=c1cc2oc(-c3ccc(O)c(O)c3)c(O)cc-2c(OC2OC(CO)C(O)C(O)C2O)c1	C21H20O11	448.10056146		3.58775247121936	0.368368566036224	11
12	[M+H]+	ISDB	0.000137459999905332		VUGRLRAUZWGZJP	O=c1cc(-c2ccc(O)cc2)oc2cc(OC3OC(CO)C(O)C(O)C3O)c(O)c(O)c12	C21H20O11	448.10056146		3.20321737625926	0.367745578289032	9
12	[M+H]+	ISDB	0.000137459999905332		VAPVFWUBNBLVMB	O=c1cc(-c2ccc(O)c(O)c2)c2c(OC3OC(CO)C(O)C(O)C3O)cc(O)cc2o1	C21H20O11	448.10056146		3.23837943334483	0.366733014583588	10
12	[M+H]+	ISDB	0.000137459999905332		KKJMOABHCCNIEF	O=c1cc2oc(-c3ccc(O)c(O)c3)c(OC3OC(CO)C(O)C(O)C3O)cc-2c(O)c1	C21H20O11	448.10056146		3.50167442558319	0.356960654258728	11
12	[M+H]+	ISDB	0.000137459999905332		HFGWZZCMKNPSHP	O=c1cc(-c2ccc(O)c(O)c2)oc2cc(OC3OC(C(O)CO)C(O)C3O)cc(O)c12	C21H20O11	448.10056146		3.41405110995756	0.355561017990112	12
12	[M+H]+	ISDB	0.000137459999905332		AYURXOXPTWHCEY	O=c1c(O)c(-c2ccc(OC3OC(CO)C(O)C(O)C3O)c(O)c2)oc2cc(O)ccc12	C21H20O11	448.10056146		3.74059397781543	0.353891253471375	12
2	[M+H]+	ISDB	0.000529895999989094		WIBJXLDWHFLFBG	Nc1nc(C2OC(CO)C(O)C2O)nc2nc[nH]c12	C10H13N5O4	267.096753896		3.42975573542989	0.35302796959877	3
12	[M+H]+	ISDB	0.000137459999905332		LJPXIXBWAQJAIF	O=c1c(-c2ccc(O)c(O)c2)coc2cc(OC3OC(C(O)CO)C(O)C3O)cc(O)c12	C21H20O11	448.10056146		3.4205309392589	0.351495534181595	10
12	[M+H]+	ISDB	0.000137459999905332		SRYAJAYCKDFWKE	O=c1cc(-c2ccc(O)c(O)c2)oc2c(O)c(OC3OC(CO)C(O)C(O)C3O)ccc12	C21H20O11	448.10056146		3.6096980259533	0.350887417793274	11
2	[M+H]+	ISDB	0.000529895999989094		KBHMEHLJSZMEMI	Nc1ncnc2c(C3OC(CO)C(O)C3O)n[nH]c12	C10H13N5O4	267.096753896		3.58867233101402	0.348982959985733	3
5	[M+H]+	ISDB	6.41039999322857e-05		GLMPLZUBQDAZEN	Oc1ccc2c(c1)OCC1(O)c3cc4c(cc3OC21)OCO4	C16H12O6	300.063388104		2.98750411795796	0.348203659057617	2
12	[M+H]+	ISDB	0.000137459999905332		YWSCBJNWSOBUMF	Cc1cc(OC2OC(CO)C(O)C(O)C2O)c2c(c1)C(=O)c1cc(O)c(O)c(O)c1C2=O	C21H20O11	448.10056146		3.7264338629042	0.345578163862228	11
12	[M+H]+	ISDB	0.000137459999905332		OVYKIGVBXANLEK	O=c1cc(-c2ccc(O)c(O)c2)oc2cc(OC3(CO)OC(CO)C(O)C3O)cc(O)c12	C21H20O11	448.10056146		3.66491308987956	0.34525540471077	12
